pair_id,image_1,text_1,image_2,text_2,shape_a,shape_b,color_1,color_2
0,pair0000_circle_red_square_blue.png,a red circle and a blue square,pair0000_circle_blue_square_red.png,a blue circle and a red square,circle,square,red,blue
1,pair0001_circle_red_square_green.png,a red circle and a green square,pair0001_circle_green_square_red.png,a green circle and a red square,circle,square,red,green
2,pair0002_circle_red_square_yellow.png,a red circle and a yellow square,pair0002_circle_yellow_square_red.png,a yellow circle and a red square,circle,square,red,yellow
3,pair0003_circle_blue_square_green.png,a blue circle and a green square,pair0003_circle_green_square_blue.png,a green circle and a blue square,circle,square,blue,green
4,pair0004_circle_blue_square_yellow.png,a blue circle and a yellow square,pair0004_circle_yellow_square_blue.png,a yellow circle and a blue square,circle,square,blue,yellow
5,pair0005_circle_green_square_yellow.png,a green circle and a yellow square,pair0005_circle_yellow_square_green.png,a yellow circle and a green square,circle,square,green,yellow
6,pair0006_circle_red_triangle_blue.png,a red circle and a blue triangle,pair0006_circle_blue_triangle_red.png,a blue circle and a red triangle,circle,triangle,red,blue
7,pair0007_circle_red_triangle_green.png,a red circle and a green triangle,pair0007_circle_green_triangle_red.png,a green circle and a red triangle,circle,triangle,red,green
8,pair0008_circle_red_triangle_yellow.png,a red circle and a yellow triangle,pair0008_circle_yellow_triangle_red.png,a yellow circle and a red triangle,circle,triangle,red,yellow
9,pair0009_circle_blue_triangle_green.png,a blue circle and a green triangle,pair0009_circle_green_triangle_blue.png,a green circle and a blue triangle,circle,triangle,blue,green
10,pair0010_circle_blue_triangle_yellow.png,a blue circle and a yellow triangle,pair0010_circle_yellow_triangle_blue.png,a yellow circle and a blue triangle,circle,triangle,blue,yellow
11,pair0011_circle_green_triangle_yellow.png,a green circle and a yellow triangle,pair0011_circle_yellow_triangle_green.png,a yellow circle and a green triangle,circle,triangle,green,yellow
12,pair0012_circle_red_star_blue.png,a red circle and a blue star,pair0012_circle_blue_star_red.png,a blue circle and a red star,circle,star,red,blue
13,pair0013_circle_red_star_green.png,a red circle and a green star,pair0013_circle_green_star_red.png,a green circle and a red star,circle,star,red,green
14,pair0014_circle_red_star_yellow.png,a red circle and a yellow star,pair0014_circle_yellow_star_red.png,a yellow circle and a red star,circle,star,red,yellow
15,pair0015_circle_blue_star_green.png,a blue circle and a green star,pair0015_circle_green_star_blue.png,a green circle and a blue star,circle,star,blue,green
16,pair0016_circle_blue_star_yellow.png,a blue circle and a yellow star,pair0016_circle_yellow_star_blue.png,a yellow circle and a blue star,circle,star,blue,yellow
17,pair0017_circle_green_star_yellow.png,a green circle and a yellow star,pair0017_circle_yellow_star_green.png,a yellow circle and a green star,circle,star,green,yellow
18,pair0018_square_red_circle_blue.png,a red square and a blue circle,pair0018_square_blue_circle_red.png,a blue square and a red circle,square,circle,red,blue
19,pair0019_square_red_circle_green.png,a red square and a green circle,pair0019_square_green_circle_red.png,a green square and a red circle,square,circle,red,green
20,pair0020_square_red_circle_yellow.png,a red square and a yellow circle,pair0020_square_yellow_circle_red.png,a yellow square and a red circle,square,circle,red,yellow
21,pair0021_square_blue_circle_green.png,a blue square and a green circle,pair0021_square_green_circle_blue.png,a green square and a blue circle,square,circle,blue,green
22,pair0022_square_blue_circle_yellow.png,a blue square and a yellow circle,pair0022_square_yellow_circle_blue.png,a yellow square and a blue circle,square,circle,blue,yellow
23,pair0023_square_green_circle_yellow.png,a green square and a yellow circle,pair0023_square_yellow_circle_green.png,a yellow square and a green circle,square,circle,green,yellow
24,pair0024_square_red_triangle_blue.png,a red square and a blue triangle,pair0024_square_blue_triangle_red.png,a blue square and a red triangle,square,triangle,red,blue
25,pair0025_square_red_triangle_green.png,a red square and a green triangle,pair0025_square_green_triangle_red.png,a green square and a red triangle,square,triangle,red,green
26,pair0026_square_red_triangle_yellow.png,a red square and a yellow triangle,pair0026_square_yellow_triangle_red.png,a yellow square and a red triangle,square,triangle,red,yellow
27,pair0027_square_blue_triangle_green.png,a blue square and a green triangle,pair0027_square_green_triangle_blue.png,a green square and a blue triangle,square,triangle,blue,green
28,pair0028_square_blue_triangle_yellow.png,a blue square and a yellow triangle,pair0028_square_yellow_triangle_blue.png,a yellow square and a blue triangle,square,triangle,blue,yellow
29,pair0029_square_green_triangle_yellow.png,a green square and a yellow triangle,pair0029_square_yellow_triangle_green.png,a yellow square and a green triangle,square,triangle,green,yellow
30,pair0030_square_red_star_blue.png,a red square and a blue star,pair0030_square_blue_star_red.png,a blue square and a red star,square,star,red,blue
31,pair0031_square_red_star_green.png,a red square and a green star,pair0031_square_green_star_red.png,a green square and a red star,square,star,red,green
32,pair0032_square_red_star_yellow.png,a red square and a yellow star,pair0032_square_yellow_star_red.png,a yellow square and a red star,square,star,red,yellow
33,pair0033_square_blue_star_green.png,a blue square and a green star,pair0033_square_green_star_blue.png,a green square and a blue star,square,star,blue,green
